ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-01T22:47:40.819638792Z,2025-01-01T22:47:40.819515111Z,10,1,29307,M,B,0,1.2505,3,130,11342,28101441,1.2505,1.2509,23,7,5,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:41.819645694Z,2025-01-01T22:47:41.819506469Z,10,1,29307,M,A,0,1.2509,5,130,19257,28101446,1.2505,1.2509,23,5,5,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:41.819655739Z,2025-01-01T22:47:41.819517989Z,10,1,29307,C,B,0,1.2505,3,130,13137,28101447,1.2505,1.2509,20,5,4,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:41.819663726Z,2025-01-01T22:47:41.819528665Z,10,1,29307,M,B,0,1.2505,2,130,12255,28101448,1.2505,1.2509,18,5,4,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:42.819701611Z,2025-01-01T22:47:42.819575719Z,10,1,29307,M,A,0,1.2509,4,130,17062,28101454,1.2505,1.2509,18,4,4,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:42.819709782Z,2025-01-01T22:47:42.819586529Z,10,1,29307,C,B,0,1.2505,2,130,11869,28101455,1.2505,1.2509,16,4,3,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:42.819719113Z,2025-01-01T22:47:42.819595803Z,10,1,29307,M,B,0,1.2505,2,130,11665,28101456,1.2505,1.2509,14,4,3,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:43.819716933Z,2025-01-01T22:47:43.819595439Z,10,1,29307,M,A,0,1.2509,3,130,16568,28101463,1.2505,1.2509,14,3,3,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:43.819725711Z,2025-01-01T22:47:43.819605555Z,10,1,29307,M,B,0,1.2505,3,130,12005,28101464,1.2505,1.2509,13,3,3,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:43.819739151Z,2025-01-01T22:47:43.819617537Z,10,1,29307,C,B,0,1.2505,2,130,11388,28101465,1.2505,1.2509,11,3,2,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
